trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-3,-86.21737945932489,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-6,-117.61370529246871,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-100,-440.45093845635154,"{0: 80, 1: 12, 2: 17, 3: 5, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-2,-87.64128917543188,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-100,-302.28472754158884,"{0: 88, 1: 5, 2: 21, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-9,-247.77990581264027,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-100,-631.6925729252865,"{0: 81, 1: 7, 2: 17, 3: 3, 4: 12}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-28,-137.43694415147047,"{0: 43, 1: 4, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-91,-560.5605534400628,"{0: 72, 1: 4, 2: 24, 3: 1, 4: 10}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-1.1427413379144893,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,1,-91.24085036676571,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-14,-10.54304665352768,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-3,-88.72125559720746,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-17.91516162811029,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-7,9.882615497915758,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,11.740060032715217,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-63,22.371930854854828,"{0: 77, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,7,44.592965138424525,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-7,35.955325230961286,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-2,-36.55202214861689,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,15,-29.456626675864594,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,12,14.255744139983538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,-12,-10.082722015378387,"{0: 29, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,7,24.498014549455362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,17.356066545616756,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,-21,17.767245130209567,"{0: 39, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,15,0.3112055378117844,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,-9,34.48696782722526,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,8,18.11147665853994,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,-2,-9.948544736222017,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",0
